id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
6c3c6232-c894-40ba-8bee-53bf32801d4f,Luan das Neves,1975-06-13,207.832.726-93,18309073,da Cunha,AP,Brasil,M,(021) 1109 6846,20783272693@exemplo.com.br,2025-03-27
3b343b50-cd40-442c-8aa4-84edfb652f98,Maria Eduarda Viana,1956-10-14,871.942.401-56,47407880,Moraes da Prata,RO,Brasil,M,+55 (031) 4110-9640,87194240156@exemplo.com.br,2025-02-27
c9bdda1f-7dfd-4a4c-bd19-e6c196e09f23,Valentim da Luz,1950-02-21,263.706.929-05,08193-065,Rios de Minas,AP,Brasil,F,41 8984-7284,26370692905@exemplo.com.br,2023-11-20
9613a01b-8a9f-43e8-aaf1-47378712db40,Maria Helena Ramos,1958-03-20,828.081.574-26,22116-877,Ribeiro do Campo,RS,Brasil,M,(061) 8359-1993,82808157426@exemplo.com.br,2024-01-07
0eb6290d-f893-4fc0-888d-9f8760f9a44a,Dra. Isadora Moreira,1945-07-10,474.001.123-28,86732363,Marques de Sá,AL,Brasil,M,+55 84 8572-5398,47400112328@exemplo.com.br,2024-10-15
00cb1be2-6936-4dba-842e-9d624cafa61d,Henry Abreu,1953-09-19,133.380.365-35,50402927,Barbosa da Mata,PA,Brasil,M,+55 11 0521-8528,13338036535@exemplo.com.br,2023-08-04
e841a638-d1fc-4f79-aec4-352e55db0d2a,Caroline Pacheco,1950-11-10,777.688.344-31,55461791,Porto,SE,Brasil,M,11 3453 1364,77768834431@exemplo.com.br,2024-06-20
1d5761fe-bdea-45aa-92a4-f47c4ef75788,Ana Cecília Pereira,1995-08-19,761.319.300-07,84056-349,Rocha,AC,Brasil,M,+55 (071) 6489-2524,76131930007@exemplo.com.br,2023-07-15
57e5222a-e3cc-47bb-87d4-033e384eac46,Stella Cassiano,1987-01-18,126.927.934-83,82081-855,Monteiro,RS,Brasil,F,0900-969-9909,12692793483@exemplo.com.br,2024-06-21
77ddbd2d-a67a-45f1-ab33-a0276570c948,Sr. José Miguel Oliveira,1935-05-30,965.592.593-77,37498-501,Abreu do Campo,PE,Brasil,M,0900 861 9874,96559259377@exemplo.com.br,2025-06-03
e4e6d989-46a0-44f5-9a31-8fa28568c4da,Enzo Gabriel Viana,1994-12-24,075.359.981-22,73791456,Martins,AM,Brasil,M,84 4851-4819,07535998122@exemplo.com.br,2024-05-19
5f083ffb-f2b7-48fd-b00f-0314d7370266,Larissa Cunha,2000-01-19,708.364.300-69,46126619,Moraes de da Costa,SE,Brasil,M,+55 (084) 6842 3026,70836430069@exemplo.com.br,2024-02-29
d0ff3288-666d-4550-8328-3c2ecad1c740,Valentina Aparecida,1980-03-18,753.893.721-83,03689668,Viana,MT,Brasil,M,0300 567 0471,75389372183@exemplo.com.br,2025-02-12
f80b772d-5fe1-4a30-a9cc-855b64c7476c,Nathan Macedo,1956-02-18,799.322.297-82,09368526,da Mota,MA,Brasil,M,0500-257-3012,79932229782@exemplo.com.br,2024-12-07
3291911b-8674-42ff-a32f-4e6ead3f69f0,Manuella Abreu,1973-02-01,412.708.762-55,87468-038,Machado,AC,Brasil,M,(061) 9143 5147,41270876255@exemplo.com.br,2023-10-31
6a6bcadc-111a-44c7-9804-7510caa24590,Liam Moreira,1947-01-01,927.487.780-93,24849569,Moreira,AL,Brasil,M,(031) 9164-6598,92748778093@exemplo.com.br,2023-07-15
dcb65702-d855-4cb9-932d-c6e6b24c4366,Gustavo Henrique Macedo,1990-02-02,007.384.791-53,10789375,Ribeiro de Pacheco,RO,Brasil,F,61 5655-0019,00738479153@exemplo.com.br,2025-01-05
1c53ddfc-40d1-49ce-a51f-6fec4f268c92,João Dias,1948-08-02,520.713.694-42,79241-127,Andrade,PB,Brasil,M,(021) 4082-6374,52071369442@exemplo.com.br,2024-03-10
84b08c22-0e03-465e-bd8d-85f19f6357a4,Maria Clara Vieira,1943-02-25,020.072.616-83,08519984,Vieira das Pedras,BA,Brasil,F,81 9524 1491,02007261683@exemplo.com.br,2023-12-01
610a0c38-dc54-4d75-90cf-6187cad566ea,Henry da Conceição,1960-05-24,094.557.830-42,34590075,Freitas,ES,Brasil,F,(071) 5049 1098,09455783042@exemplo.com.br,2025-01-01
3d6ba932-36cd-4583-88cb-d80796ee3112,Pietra Martins,1965-04-30,673.316.922-16,47377-292,Souza do Sul,AL,Brasil,M,+55 (071) 6951-0675,67331692216@exemplo.com.br,2024-04-01
caf5ff82-86fb-473b-b5bc-1ec4e9938249,Srta. Hadassa da Mata,1939-04-05,677.880.359-20,43858-316,Souza,SP,Brasil,M,71 3973-5892,67788035920@exemplo.com.br,2024-02-23
a26f9148-f423-4752-b6fe-7ae5a0bcd776,Mirella Moura,1976-04-15,270.770.707-82,22358466,Lopes,PB,Brasil,F,0500 657 5820,27077070782@exemplo.com.br,2024-07-06
f365a70f-db32-4b2d-8cb0-167e1d02610a,Dra. Zoe Araújo,1952-03-12,385.476.703-91,58183429,Sampaio,CE,Brasil,F,61 2849-5280,38547670391@exemplo.com.br,2023-09-27
5e6abd8b-9667-4365-ab86-20916f6553a0,Hellena Costa,1955-10-26,622.288.501-42,20840-052,da Paz dos Dourados,SE,Brasil,F,(071) 0039 4755,62228850142@exemplo.com.br,2024-08-27
36dbb436-9bb3-4467-9a03-43a37fd1e925,Francisco Albuquerque,1995-03-23,475.267.971-25,55066-239,Rodrigues,MS,Brasil,M,21 4355 6449,47526797125@exemplo.com.br,2024-06-13
9983983a-0244-423b-beca-5f0a3c5cf4c0,Breno Aparecida,2003-09-05,044.258.988-45,05474-133,Guerra da Mata,MG,Brasil,M,+55 (051) 5283-8046,04425898845@exemplo.com.br,2024-07-14
1ebda025-27f1-4f1b-9b48-c23c04011f13,Maria Isis Pacheco,1943-04-02,941.568.964-14,39369269,Vieira,RS,Brasil,F,(031) 9958 1970,94156896414@exemplo.com.br,2024-08-07
d5c344c7-7400-409a-a103-1a2d96ce79db,Leonardo Barbosa,1959-10-01,648.318.490-81,80263-283,Brito,ES,Brasil,M,+55 84 1915 8782,64831849081@exemplo.com.br,2024-08-08
8858d6b4-8d0b-4b0a-83e4-283ef0a66acc,Nicolas Costa,1945-09-04,868.448.064-32,05136-956,Duarte,RR,Brasil,M,51 9042 5587,86844806432@exemplo.com.br,2025-03-16
f10236d8-e40d-4a6d-a88c-55e412ae6922,Ravi Camargo,1996-02-03,790.237.227-98,89098-036,Melo,AM,Brasil,F,+55 (071) 7386 4383,79023722798@exemplo.com.br,2023-06-12
37bef9c7-a025-4194-b3fa-474ffc62e684,Daniela da Cruz,2003-01-24,444.197.189-30,07009-166,Moraes,PE,Brasil,M,(061) 4559-5980,44419718930@exemplo.com.br,2024-05-06
